AS400,,,,BI,,,,,,,
41811,17190BRK,,,41811,17190BRK,,0.00,,,,
154230,17293CIN,,,154230,17293CIN,,0.00,,,,
3744,17308VEN,,,3744,17308VEN,,0.00,,,,
12352,17313DEN,,,12352,17313DEN,,0.00,,,,
2508,17339SBN,,,2508,17339SBN,,0.00,,,,
9060,17343VEN,,,9060,17343VEN,,0.00,,,,
6090,17345OTB,,,6090,17345OTB,,0.00,,,,
143640,17350PHA,,,143640,17350PHA,,0.00,,,,
5608.8,17361VEN,,,5608.8,17361VEN,,0.00,,,,
54600,17388MFY,,,54600,17388MFY,,0.00,,,,
21169.91,17578SBY,,,21169.91,17578SBY,,0.00,,,,
12032,17634TGI,,,12032,17634TGI,,0.00,,,,
362.12,17680CGB,,,362.12,17680CGB,,0.00,,,,
1481.2,17687CGB,,,1481.2,17687CGB,,0.00,,,,
2662.8,17690CGR,,,2662.8,17690CGR,,0.00,,,,
1992,17697CGR,,,1992,17697CGR,,0.00,,,,
1915.16,17698CGR,,,1915.16,17698CGR,,0.00,,,,
864,17699CGR,,,864,17699CGR,,0.00,,,,
3151.85,17700CGR,,,3151.85,17700CGR,,0.00,,,,
2053.2,17710CGS,,,2053.2,17710CGS,,0.00,,,,
2456.8,17711CGS,,,2456.8,17711CGS,,0.00,,,,
1555.2,17718CGS,,,1555.2,17718CGS,,0.00,,,,
1332,17722CGS,,,1332,17722CGS,,0.00,,,,
254.8,17730CGS,,,254.8,17730CGS,,0.00,,,,
15122.46,17732CGS,,,15122.46,17732CGS,,0.00,,,,
3115.2,17734CGS,,,3115.2,17734CGS,,0.00,,,,
1678.24,17737CGS,,,1678.24,17737CGS,,0.00,,,,
842.16,17738CGS,,,842.16,17738CGS,,0.00,,,,
57489.24,17739CGS,,,57437.76,17739CGS,,51.48,,,,
111.6,17768CGS,,,111.6,17768CGS,,0.00,,,,
735000,17847WAF,,,735000,17847WAF,,0.00,,,,
112320,17850WHA,,,112320,17850WHA,,0.00,,,,
348639,17870JIB,,,348639,17870JIB,,0.00,,,,
140595,17878OPR,,,140595,17878OPR,,0.00,,,,
2862,17905TGI,,,2862,17905TGI,,0.00,,,,
5392,17915CLG,,,5392,17915CLG,,0.00,,,,
18304,17930BAK,,,18304,17930BAK,,0.00,,,,
8283.24,17950BAK,,,8283.24,17950BAK,,0.00,,,,
258325.2,18011JIB,,,258325.2,18011JIB,,0.00,,,,
49020,18013UBA,,,49020,18013UBA,,0.00,,,,
6276,18038LJS,,,6276,18038LJS,,0.00,,,,
6648,18040CLG,,,6648,18040CLG,,0.00,,,,
478432,18046PAD,,,478432,18046PAD,,0.00,,,,
